ResultsFolder,DimensionHiddenLayers,NumAttentionHeads,NegativeSlope,Dropout,LearningRate,WeightDecay,BatchSize,Fold,Epochs,ValLoss,OptThreshold,MCC,PRAUC,Precision,Recall,ROCAUC
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_64_0,8,3,0.1,0.2,0.001,0.001,64,0,144,182.903,0.091,0.437,0.55,0.316,0.808,0.897
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_64_1,8,3,0.1,0.2,0.001,0.001,64,1,150,191.655,0.069,0.379,0.5,0.24,0.837,0.9
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_64_2,8,3,0.1,0.2,0.001,0.001,64,2,97,210.877,0.051,0.358,0.425,0.22,0.815,0.892
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_64_3,8,3,0.1,0.2,0.001,0.001,64,3,118,207.536,0.041,0.361,0.465,0.206,0.869,0.907
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_64_4,8,3,0.1,0.2,0.001,0.001,64,4,120,222.357,0.047,0.373,0.436,0.225,0.822,0.898
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_64_5,8,3,0.1,0.2,0.001,0.001,64,5,154,230.718,0.038,0.361,0.449,0.205,0.852,0.908
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_64_6,8,3,0.1,0.2,0.001,0.001,64,6,118,220.751,0.043,0.35,0.423,0.19,0.844,0.916
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_64_7,8,3,0.1,0.2,0.001,0.001,64,7,117,230.248,0.035,0.311,0.412,0.154,0.841,0.906
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_64_8,8,3,0.1,0.2,0.001,0.001,64,8,96,262.531,0.021,0.296,0.316,0.137,0.802,0.901
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-03_1e-03_64_9,8,3,0.1,0.2,0.001,0.001,64,9,100,185.664,0.069,0.409,0.513,0.257,0.845,0.917
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_16_0,8,3,0.1,0.2,0.0001,0.001,16,0,229,47.901,0.101,0.418,0.528,0.307,0.783,0.887
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_16_1,8,3,0.1,0.2,0.0001,0.001,16,1,240,49.61,0.066,0.381,0.471,0.254,0.791,0.889
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_16_2,8,3,0.1,0.2,0.0001,0.001,16,2,161,55.11,0.076,0.353,0.403,0.237,0.73,0.872
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_16_3,8,3,0.1,0.2,0.0001,0.001,16,3,224,54.118,0.07,0.381,0.44,0.235,0.815,0.898
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_16_4,8,3,0.1,0.2,0.0001,0.001,16,4,174,58.427,0.061,0.372,0.408,0.233,0.793,0.888
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_16_5,8,3,0.1,0.2,0.0001,0.001,16,5,220,59.517,0.043,0.341,0.395,0.195,0.828,0.895
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_16_6,8,3,0.1,0.2,0.0001,0.001,16,6,202,57.964,0.047,0.351,0.396,0.194,0.83,0.904
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_16_7,8,3,0.1,0.2,0.0001,0.001,16,7,216,59.203,0.033,0.323,0.384,0.17,0.801,0.898
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_16_8,8,3,0.1,0.2,0.0001,0.001,16,8,201,67.729,0.021,0.273,0.28,0.118,0.824,0.894
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_16_9,8,3,0.1,0.2,0.0001,0.001,16,9,148,47.646,0.066,0.399,0.484,0.251,0.831,0.913
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_32_0,8,3,0.1,0.2,0.0001,0.001,32,0,250,97.976,0.114,0.423,0.502,0.316,0.77,0.88
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_32_1,8,3,0.1,0.2,0.0001,0.001,32,1,166,103.52,0.073,0.363,0.445,0.24,0.785,0.872
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_32_2,8,3,0.1,0.2,0.0001,0.001,32,2,297,107.82,0.059,0.352,0.405,0.225,0.774,0.879
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_32_3,8,3,0.1,0.2,0.0001,0.001,32,3,228,107.566,0.043,0.343,0.43,0.193,0.864,0.894
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_32_4,8,3,0.1,0.2,0.0001,0.001,32,4,263,114.6,0.054,0.37,0.415,0.224,0.819,0.895
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_32_5,8,3,0.1,0.2,0.0001,0.001,32,5,304,120.596,0.044,0.33,0.391,0.184,0.841,0.89
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_32_6,8,3,0.1,0.2,0.0001,0.001,32,6,231,117.945,0.058,0.354,0.382,0.204,0.797,0.897
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_32_7,8,3,0.1,0.2,0.0001,0.001,32,7,136,121.53,0.046,0.335,0.345,0.184,0.777,0.889
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_32_8,8,3,0.1,0.2,0.0001,0.001,32,8,149,134.263,0.023,0.265,0.259,0.114,0.817,0.893
output/BB/gatv2/bce/train/_8_3_1e-01_2e-01_1e-04_1e-03_32_9,8,3,0.1,0.2,0.0001,0.001,32,9,132,97.78,0.062,0.389,0.454,0.249,0.807,0.906
